epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7583,1.18577,3.65889,1.22683,0.6124,0.26461,0.27739,0.2041,1.2105,2.87847,1.20337,0.000114148,0.000114148,0.000114148
2,125.583,1.27963,2.47079,1.29218,0.51925,0.42138,0.42354,0.27918,1.26346,2.20121,1.26703,0.000224611,0.000224611,0.000224611
3,185.862,1.30867,2.20996,1.31649,0.47064,0.43002,0.40752,0.26918,1.3016,2.12263,1.29268,0.00033052,0.00033052,0.00033052
4,244.767,1.30289,2.05917,1.30782,0.53479,0.44521,0.45471,0.28894,1.29969,1.9663,1.27944,0.000324507,0.000324507,0.000324507
5,302.941,1.28049,2.00141,1.30858,0.49848,0.4614,0.43699,0.28598,1.3187,2.02264,1.29693,0.000317676,0.000317676,0.000317676
6,361.351,1.29019,1.90722,1.3013,0.55932,0.42808,0.44075,0.28503,1.31052,1.91814,1.29422,0.000310845,0.000310845,0.000310845
7,421.223,1.25994,1.83801,1.28893,0.56953,0.42775,0.45116,0.29215,1.31111,1.87192,1.28517,0.000304014,0.000304014,0.000304014
8,482.704,1.2637,1.78424,1.27614,0.55721,0.4424,0.46353,0.29996,1.29198,1.85604,1.28449,0.000297183,0.000297183,0.000297183
9,545.91,1.2425,1.72094,1.27036,0.60231,0.47327,0.49112,0.31697,1.28701,1.7475,1.262,0.000290352,0.000290352,0.000290352
10,607.649,1.23584,1.69236,1.26351,0.56263,0.44661,0.45543,0.29377,1.29532,1.775,1.27455,0.000283521,0.000283521,0.000283521
11,666.361,1.23627,1.66709,1.26625,0.57635,0.4489,0.47276,0.30715,1.29937,1.7606,1.28311,0.00027669,0.00027669,0.00027669
12,725.518,1.2035,1.60747,1.24427,0.52172,0.45587,0.46402,0.29744,1.30424,1.73992,1.28097,0.000269859,0.000269859,0.000269859
13,786.566,1.21356,1.61412,1.25567,0.55077,0.45933,0.47002,0.30181,1.30289,1.71217,1.26963,0.000263028,0.000263028,0.000263028
14,846.921,1.20468,1.56081,1.24605,0.52978,0.47917,0.47279,0.2989,1.3341,1.7372,1.31416,0.000256197,0.000256197,0.000256197
15,907.444,1.19443,1.55096,1.24363,0.60377,0.44299,0.47723,0.31035,1.29263,1.67012,1.28096,0.000249366,0.000249366,0.000249366
16,967.789,1.18123,1.51591,1.22926,0.55139,0.4677,0.47383,0.30823,1.28925,1.63225,1.26474,0.000242535,0.000242535,0.000242535
17,1024.71,1.16593,1.47515,1.22572,0.60121,0.45382,0.47785,0.31214,1.28249,1.64116,1.28103,0.000235704,0.000235704,0.000235704
18,1085.35,1.16804,1.46817,1.21842,0.57812,0.46916,0.48243,0.31379,1.27496,1.62846,1.25941,0.000228873,0.000228873,0.000228873
19,1145.69,1.15622,1.44707,1.22004,0.58416,0.46684,0.47103,0.30706,1.30679,1.65866,1.29071,0.000222042,0.000222042,0.000222042
